song_id,track_id,danceability,title,song_hotttnesss,artist_name
SOVLGJY12A8C13FBED,TRACCVZ128F4291A8A,0.0,Deep Sea Creature,0.59764079771477685,Mastodon
SOMZWCG12A8C13C480,TRAAAAW128F429D538,0.0,I Didn't Mean To,0.60211998990575477,Casual
SOCIWDW12A8C13D406,TRAAABD128F429CF47,0.0,Soul Deep,nan,The Box Tops
SOXVLOJ12AB0189215,TRAAADZ128F9348C2E,0.0,Amor De Cabaret,nan,Sonora Santanera
SONHOTT12A8C13493C,TRAAAEF128F4273421,0.0,Something Girls,nan,Adam Ant
SOFSOCN12A8C143F5D,TRAAAFD128F92F423A,0.0,Face the Ashes,0.6045007385888197,Gob
SOYMRWW12A6D4FAB14,TRAAAMO128F1481E7F,0.0,The Moon And I (Ordinary Day Album Version),nan,Jeff And Sheri Easter
SOMJBYD12A6D4F8557,TRAAAMQ128F1460CD3,0.0,Keepin It Real (Skit),nan,Rated R
SOHKNRJ12A6701D1F8,TRAAAPK128E0786D96,0.0,Drop of Rain,nan,Tweeterfriendly Music
SOIAZJW12AB01853F1,TRAAARJ128F9320760,0.0,Pink World,0.26586104921065007,Planet P Project
SOUDSGM12AC9618304,TRAAAVG12903CFA543,0.0,Insatiable (Instrumental Version),nan,Clp
SOQHXMF12AB0182363,TRAAAVO128F93133D4,0.0,Young Boy Blues,0.0,JennyAnyKind
SOKEJEJ12A8C13E0D0,TRAABCL128F4286650,0.0,The Urgency (LP Version),0.26586104921065007,Wayne Watson
SOMUYGI12AB0188633,TRAABDL12903CAABBA,0.0,La Culpa,0.0,Andy Andy
SORAMLE12AB017C8B0,TRAABJL12903CDCF1A,0.0,Auguri Cha Cha,0.0,Bob Azzam
SOBONFF12A6D4F84D8,TRAABJV128F1460C49,0.0,Tonight Will Be Alright,nan,Lionel Richie
SOHUOAP12A8AE488E9,TRAABLR128F423B7E3,0.0,Floating,0.40511572169138649,Blue Rodeo
SOUQQEA12A8C134B1B,TRAABNV128F425CEE1,0.0,High Tide,0.33470654906922059,Richard Souther
SOILPQQ12AB017E82A,TRAABRB128F9306DD5,0.0,Sohna Nee Sohna Data,nan,Faiz Ali Faiz
SOXLBJT12A8C140925,TRAABVM128F92CA9DC,0.0,Caught In A Dream,0.68413619122949032,Tesla
SOZVMJI12AB01808AF,TRAABXG128F9318EBD,0.0,Synthetic Dream,0.0,lextrical
SOWTBJW12AC468AC6E,TRAABYN12903CFD305,0.0,Broken-Down Merry-Go-Round,nan,Jimmy Wakely
SOBEBDG12A58A76D60,TRAABYW128F4244559,0.0,Kassie Jones,0.0,Alice Stuart
SOZCTXZ12AB0182364,TRAACCG128F92E8A55,0.0,Setanta matins,0.31356211424793418,Elena
